tweet_id,favorites,retweets,user_followers,user_favourites,date_time
822489057087389700,17058,5932,9358964,147581,2017-01-20 17:00:46+00:00
822462944365645825,26208,13078,9358964,147581,2017-01-20 15:17:01+00:00
822244816520155136,33004,9184,9358964,147581,2017-01-20 00:50:15+00:00
822163064745328640,0,4352,9358964,147581,2017-01-19 19:25:24+00:00
821886076407029760,10643,2131,9358964,147581,2017-01-19 01:04:45+00:00
821813639212650496,0,3114,9358964,147581,2017-01-18 20:16:54+00:00
821765923262631936,7887,1553,9358964,147581,2017-01-18 17:07:18+00:00
821522889702862852,7545,1625,9358964,147581,2017-01-18 01:01:34+00:00
821421320206483457,0,5107,9359380,147581,2017-01-17 18:17:58+00:00
821407182352777218,11069,3978,9358964,147581,2017-01-17 17:21:47+00:00
821153421864615936,236,8,9358964,147581,2017-01-17 00:33:26+00:00
821149554670182400,8086,1818,9358964,147581,2017-01-17 00:18:04+00:00
821107785811234820,9033,1962,9358964,147581,2017-01-16 21:32:06+00:00
821044531881721856,11908,2114,9358964,147581,2017-01-16 17:20:45+00:00
820837357901512704,0,6213,9358964,147581,2017-01-16 03:37:31+00:00
820749716845686786,29718,9156,9358964,147581,2017-01-15 21:49:15+00:00
820690176645140481,11556,2990,9358964,147581,2017-01-15 17:52:40+00:00
820494788566847489,0,521,9358964,147581,2017-01-15 04:56:16+00:00
820446719150292993,0,2383,9358964,147581,2017-01-15 01:45:15+00:00
820314633777061888,3151,521,9358964,147581,2017-01-14 17:00:24+00:00
820078625395449857,18571,5762,9358964,147581,2017-01-14 01:22:35+00:00
820013781606658049,0,1079,9358964,147581,2017-01-13 21:04:55+00:00
819952236453363712,5004,1079,9358964,147581,2017-01-13 17:00:21+00:00
819924195358416896,12197,4527,9358964,147581,2017-01-13 15:08:56+00:00
819711362133872643,12579,2856,9358964,147581,2017-01-13 01:03:12+00:00
819588359383371776,9126,1864,9358964,147581,2017-01-12 16:54:26+00:00
819347104292290561,6810,1115,9358964,147581,2017-01-12 00:55:47+00:00
819238181065359361,2133,378,9358964,147581,2017-01-11 17:42:57+00:00
819227688460238848,21733,6213,9358964,147581,2017-01-11 17:01:16+00:00
819015337530290176,0,34417,9358964,147581,2017-01-11 02:57:27+00:00
819015331746349057,0,17724,9358964,147581,2017-01-11 02:57:26+00:00
819006400881917954,42883,17724,9358964,147581,2017-01-11 02:21:57+00:00
819004803107983360,82412,34417,9358964,147581,2017-01-11 02:15:36+00:00
818646164899774465,0,19359,9358964,147581,2017-01-10 02:30:30+00:00
818627210458333184,21164,7036,9358964,147581,2017-01-10 01:15:10+00:00
818614493328580609,9269,2345,9359380,147581,2017-01-10 00:24:38+00:00
818588835076603904,0,5669,9358965,147581,2017-01-09 22:42:41+00:00
818536468981415936,10241,2263,9358965,147581,2017-01-09 19:14:36+00:00
818307523543449600,0,7420,9358965,147581,2017-01-09 04:04:51+00:00
818259473185828864,10382,2073,9358965,147581,2017-01-09 00:53:55+00:00
818145370475810820,11584,2360,9358965,147581,2017-01-08 17:20:31+00:00
817908911860748288,4594,738,9358965,147581,2017-01-08 01:40:55+00:00
817827839487737858,48440,25006,9358965,147581,2017-01-07 20:18:46+00:00
817777686764523521,10191,2513,9358965,147581,2017-01-07 16:59:28+00:00
817536400337801217,11080,2719,9358965,147581,2017-01-07 01:00:41+00:00
817502432452313088,0,3131,9358965,147581,2017-01-06 22:45:43+00:00
817423860136083457,31734,13527,9358965,147581,2017-01-06 17:33:29+00:00
817415592588222464,5281,885,9358965,147581,2017-01-06 17:00:38+00:00
817181837579653120,0,7834,9358965,147581,2017-01-06 01:31:47+00:00
817171292965273600,8282,1856,9358965,147581,2017-01-06 00:49:53+00:00
817120970343411712,11506,2404,9358965,147581,2017-01-05 21:29:55+00:00
817056546584727552,8107,1509,9358965,147581,2017-01-05 17:13:55+00:00
816829038950027264,0,4371,9358965,147581,2017-01-05 02:09:53+00:00
816816676327063552,9449,1885,9358965,147581,2017-01-05 01:20:46+00:00
816697700272001025,9212,2046,9358965,147581,2017-01-04 17:27:59+00:00
816450570814898180,28575,7420,9358965,147581,2017-01-04 01:05:59+00:00
816336735214911488,8147,1793,9358965,147581,2017-01-03 17:33:39+00:00
816091915477250048,8463,1978,9358965,147581,2017-01-03 01:20:49+00:00
816062466425819140,0,942,9358965,147581,2017-01-02 23:23:48+00:00
816014286006976512,0,4861,9358965,147581,2017-01-02 20:12:21+00:00
815990720817401858,4679,942,9358965,147581,2017-01-02 18:38:42+00:00
815966073409433600,21061,7834,9358965,147581,2017-01-02 17:00:46+00:00
815745968457060357,0,3841,9358965,147581,2017-01-02 02:26:09+00:00
815736392542261248,9278,2108,9358965,147581,2017-01-02 01:48:06+00:00
815639385530101762,7800,1547,9358965,147581,2017-01-01 19:22:38+00:00
815390420867969024,9798,3551,9358965,147581,2017-01-01 02:53:20+00:00
814986499976527872,7239,1183,9358965,147581,2016-12-31 00:08:17+00:00
814638523311648768,10660,2515,9358965,147581,2016-12-30 01:05:33+00:00
814578408554463233,0,5438,9358965,147581,2016-12-29 21:06:41+00:00
814530161257443328,8189,1732,9358965,147581,2016-12-29 17:54:58+00:00
814153002265309185,27152,8074,9358965,147581,2016-12-28 16:56:16+00:00
813944609378369540,0,2944,9358965,147581,2016-12-28 03:08:11+00:00
813910438903693312,8831,1724,9358965,147581,2016-12-28 00:52:25+00:00
813812741911748608,34518,12990,9358965,147581,2016-12-27 18:24:12+00:00
813800681631023104,7866,1640,9358965,147581,2016-12-27 17:36:16+00:00
813217897535406080,17623,6823,9358965,147581,2016-12-26 03:00:30+00:00
813202720496779264,8741,1700,9358965,147581,2016-12-26 02:00:11+00:00
813187593374461952,18757,4029,9358965,147581,2016-12-26 01:00:05+00:00
813172488309972993,8777,1799,9358965,147581,2016-12-26 00:00:03+00:00
813157409116065792,7355,2059,9358965,147581,2016-12-25 23:00:08+00:00
813142292504645637,8060,2236,9358965,147581,2016-12-25 22:00:04+00:00
813130366689148928,4253,417,9358965,147581,2016-12-25 21:12:41+00:00
813127251579564032,11180,2909,9358965,147581,2016-12-25 21:00:18+00:00
813112105746448384,9771,2554,9358965,147581,2016-12-25 20:00:07+00:00
813096984823349248,10002,3368,9358965,147581,2016-12-25 19:00:02+00:00
813081950185472002,9400,2586,9358965,147581,2016-12-25 18:00:17+00:00
813066809284972545,7527,1821,9358965,147581,2016-12-25 17:00:08+00:00
813051746834595840,19863,6818,9358965,147581,2016-12-25 16:00:16+00:00
812781120811126785,7128,1783,9358965,147581,2016-12-24 22:04:54+00:00
812709060537683968,6273,1347,9358965,147581,2016-12-24 17:18:34+00:00
812503143955202048,5721,1147,9358965,147581,2016-12-24 03:40:19+00:00
812466873996607488,7554,1796,9358965,147581,2016-12-24 01:16:12+00:00
812372279581671427,12892,3410,9358965,147581,2016-12-23 19:00:19+00:00
811985624773361665,6891,1304,9358965,147581,2016-12-22 17:23:53+00:00
811744202451197953,7132,1466,9358965,147581,2016-12-22 01:24:33+00:00
811647686436880384,5300,680,9358965,147581,2016-12-21 19:01:02+00:00
811627233043480576,12035,2837,9358965,147581,2016-12-21 17:39:46+00:00
811386762094317568,19798,5956,9358965,147581,2016-12-21 01:44:13+00:00
810984652412424192,5036,1325,9358965,147581,2016-12-19 23:06:23+00:00
810896069567610880,8502,1637,9358965,147581,2016-12-19 17:14:23+00:00
810657578271330305,10396,2460,9358965,147581,2016-12-19 01:26:42+00:00
810284430598270976,33190,10461,9358965,147581,2016-12-18 00:43:57+00:00
